condition_id,injection_id,quantity,value,unit,value_role,measured_at,measurement_basis,source_channel
condition-00062,injection-10-012,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:48:00-05:00,direct,
condition-00063,injection-10-012,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:48:00-05:00,direct,
condition-00064,injection-10-012,pressure_drop,3675.0,Pa,measured,2026-01-21T09:48:00-05:00,direct,
condition-00065,injection-polar-013,column_temperature,303.15,K,measured,2026-01-21T09:52:00-05:00,direct,
condition-00066,injection-polar-013,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:52:00-05:00,direct,flow-channel-synthetic
condition-00067,injection-polar-013,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:52:00-05:00,direct,
condition-00068,injection-polar-013,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:52:00-05:00,direct,
condition-00069,injection-polar-013,pressure_drop,3675.0,Pa,measured,2026-01-21T09:52:00-05:00,direct,
condition-00070,injection-polar-014,column_temperature,303.15,K,measured,2026-01-21T09:56:00-05:00,direct,
condition-00071,injection-polar-014,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:56:00-05:00,direct,flow-channel-synthetic
condition-00072,injection-polar-014,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:56:00-05:00,direct,
condition-00073,injection-polar-014,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:56:00-05:00,direct,
condition-00074,injection-polar-014,pressure_drop,3675.0,Pa,measured,2026-01-21T09:56:00-05:00,direct,
condition-00075,injection-polar-015,column_temperature,303.15,K,measured,2026-01-21T10:00:00-05:00,direct,
condition-00076,injection-polar-015,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:00:00-05:00,direct,flow-channel-synthetic
condition-00077,injection-polar-015,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:00:00-05:00,direct,
condition-00078,injection-polar-015,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:00:00-05:00,direct,
condition-00079,injection-polar-015,pressure_drop,3675.0,Pa,measured,2026-01-21T10:00:00-05:00,direct,
condition-00080,injection-polar-016,column_temperature,303.15,K,measured,2026-01-21T10:04:00-05:00,direct,
condition-00081,injection-polar-016,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:04:00-05:00,direct,flow-channel-synthetic
condition-00082,injection-polar-016,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:04:00-05:00,direct,
condition-00083,injection-polar-016,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:04:00-05:00,direct,
condition-00084,injection-polar-016,pressure_drop,3675.0,Pa,measured,2026-01-21T10:04:00-05:00,direct,
condition-00085,injection-polar-017,column_temperature,303.15,K,measured,2026-01-21T10:08:00-05:00,direct,
condition-00086,injection-polar-017,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:08:00-05:00,direct,flow-channel-synthetic
condition-00087,injection-polar-017,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:08:00-05:00,direct,
condition-00088,injection-polar-017,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:08:00-05:00,direct,
condition-00089,injection-polar-017,pressure_drop,3675.0,Pa,measured,2026-01-21T10:08:00-05:00,direct,
condition-00090,injection-polar-018,column_temperature,303.15,K,measured,2026-01-21T10:12:00-05:00,direct,
condition-00091,injection-polar-018,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:12:00-05:00,direct,flow-channel-synthetic
condition-00092,injection-polar-018,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:12:00-05:00,direct,
condition-00093,injection-polar-018,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:12:00-05:00,direct,
condition-00094,injection-polar-018,pressure_drop,3675.0,Pa,measured,2026-01-21T10:12:00-05:00,direct,
condition-00095,injection-polar-019,column_temperature,303.15,K,measured,2026-01-21T10:16:00-05:00,direct,
condition-00096,injection-polar-019,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:16:00-05:00,direct,flow-channel-synthetic
condition-00097,injection-polar-019,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:16:00-05:00,direct,
condition-00098,injection-polar-019,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:16:00-05:00,direct,
condition-00099,injection-polar-019,pressure_drop,3675.0,Pa,measured,2026-01-21T10:16:00-05:00,direct,
condition-00100,injection-polar-020,column_temperature,303.15,K,measured,2026-01-21T10:20:00-05:00,direct,
condition-00101,injection-polar-020,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:20:00-05:00,direct,flow-channel-synthetic
condition-00102,injection-polar-020,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:20:00-05:00,direct,
condition-00103,injection-polar-020,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:20:00-05:00,direct,
condition-00104,injection-polar-020,pressure_drop,3675.0,Pa,measured,2026-01-21T10:20:00-05:00,direct,
condition-00105,injection-polar-021,column_temperature,303.15,K,measured,2026-01-21T10:24:00-05:00,direct,
condition-00106,injection-polar-021,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:24:00-05:00,direct,flow-channel-synthetic
condition-00107,injection-polar-021,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:24:00-05:00,direct,
condition-00108,injection-polar-021,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:24:00-05:00,direct,
condition-00109,injection-polar-021,pressure_drop,3675.0,Pa,measured,2026-01-21T10:24:00-05:00,direct,
condition-00110,injection-polar-022,column_temperature,303.15,K,measured,2026-01-21T10:28:00-05:00,direct,
condition-00111,injection-polar-022,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:28:00-05:00,direct,flow-channel-synthetic
condition-00112,injection-polar-022,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:28:00-05:00,direct,
condition-00113,injection-polar-022,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:28:00-05:00,direct,
condition-00114,injection-polar-022,pressure_drop,3675.0,Pa,measured,2026-01-21T10:28:00-05:00,direct,
condition-00115,injection-polar-023,column_temperature,303.15,K,measured,2026-01-21T10:32:00-05:00,direct,
condition-00116,injection-polar-023,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:32:00-05:00,direct,flow-channel-synthetic
condition-00117,injection-polar-023,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:32:00-05:00,direct,
condition-00118,injection-polar-023,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:32:00-05:00,direct,
condition-00119,injection-polar-023,pressure_drop,3675.0,Pa,measured,2026-01-21T10:32:00-05:00,direct,
condition-00120,injection-polar-024,column_temperature,303.15,K,measured,2026-01-21T10:36:00-05:00,direct,
condition-00121,injection-polar-024,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:36:00-05:00,direct,flow-channel-synthetic
condition-00122,injection-polar-024,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:36:00-05:00,direct,
condition-00123,injection-polar-024,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:36:00-05:00,direct,
condition-00124,injection-polar-024,pressure_drop,3675.0,Pa,measured,2026-01-21T10:36:00-05:00,direct,
condition-00125,dead-time-999,column_temperature,303.15,K,measured,2026-01-21T10:40:00-05:00,direct,
condition-00126,dead-time-999,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T10:40:00-05:00,direct,flow-channel-synthetic
condition-00127,dead-time-999,pressure_inlet,105000.0,Pa,measured,2026-01-21T10:40:00-05:00,direct,
condition-00128,dead-time-999,pressure_outlet,101325.0,Pa,measured,2026-01-21T10:40:00-05:00,direct,
condition-00129,dead-time-999,pressure_drop,3675.0,Pa,measured,2026-01-21T10:40:00-05:00,direct,
