condition_id,injection_id,quantity,value,unit,value_role,measured_at,measurement_basis,source_channel
condition-00034,probe-injection-006,pressure_drop,0.0,Pa,measured,2026-01-20T09:30:00-05:00,direct,
condition-00035,probe-injection-007,column_temperature,303.15,K,measured,2026-01-20T09:35:00-05:00,direct,
condition-00036,probe-injection-007,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:35:00-05:00,direct,flow-channel-1
condition-00037,probe-injection-007,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:35:00-05:00,direct,
condition-00038,probe-injection-007,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:35:00-05:00,direct,
condition-00039,probe-injection-007,pressure_drop,0.0,Pa,measured,2026-01-20T09:35:00-05:00,direct,
condition-00040,probe-injection-008,column_temperature,303.15,K,measured,2026-01-20T09:40:00-05:00,direct,
condition-00041,probe-injection-008,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:40:00-05:00,direct,flow-channel-1
condition-00042,probe-injection-008,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:40:00-05:00,direct,
condition-00043,probe-injection-008,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:40:00-05:00,direct,
condition-00044,probe-injection-008,pressure_drop,0.0,Pa,measured,2026-01-20T09:40:00-05:00,direct,
condition-00045,probe-injection-009,column_temperature,303.15,K,measured,2026-01-20T09:45:00-05:00,direct,
condition-00046,probe-injection-009,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:45:00-05:00,direct,flow-channel-1
condition-00047,probe-injection-009,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:45:00-05:00,direct,
condition-00048,probe-injection-009,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:45:00-05:00,direct,
condition-00049,probe-injection-009,pressure_drop,0.0,Pa,measured,2026-01-20T09:45:00-05:00,direct,
condition-00050,probe-injection-010,column_temperature,303.15,K,measured,2026-01-20T09:50:00-05:00,direct,
condition-00051,probe-injection-010,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:50:00-05:00,direct,flow-channel-1
condition-00052,probe-injection-010,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:50:00-05:00,direct,
condition-00053,probe-injection-010,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:50:00-05:00,direct,
condition-00054,probe-injection-010,pressure_drop,0.0,Pa,measured,2026-01-20T09:50:00-05:00,direct,
condition-00055,probe-injection-011,column_temperature,303.15,K,measured,2026-01-20T09:55:00-05:00,direct,
condition-00056,probe-injection-011,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:55:00-05:00,direct,flow-channel-1
condition-00057,probe-injection-011,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:55:00-05:00,direct,
condition-00058,probe-injection-011,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:55:00-05:00,direct,
condition-00059,probe-injection-011,pressure_drop,0.0,Pa,measured,2026-01-20T09:55:00-05:00,direct,
condition-00060,probe-injection-012,column_temperature,303.15,K,measured,2026-01-20T10:00:00-05:00,direct,
condition-00061,probe-injection-012,flow_column,1.85e-07,m3_s,measured,2026-01-20T10:00:00-05:00,direct,flow-channel-1
condition-00062,probe-injection-012,pressure_inlet,101325.0,Pa,measured,2026-01-20T10:00:00-05:00,direct,
condition-00063,probe-injection-012,pressure_outlet,101325.0,Pa,measured,2026-01-20T10:00:00-05:00,direct,
condition-00064,probe-injection-012,pressure_drop,0.0,Pa,measured,2026-01-20T10:00:00-05:00,direct,
condition-00065,probe-injection-013,column_temperature,303.15,K,measured,2026-01-20T10:05:00-05:00,direct,
condition-00066,probe-injection-013,flow_column,1.85e-07,m3_s,measured,2026-01-20T10:05:00-05:00,direct,flow-channel-1
condition-00067,probe-injection-013,pressure_inlet,101325.0,Pa,measured,2026-01-20T10:05:00-05:00,direct,
condition-00068,probe-injection-013,pressure_outlet,101325.0,Pa,measured,2026-01-20T10:05:00-05:00,direct,
condition-00069,probe-injection-013,pressure_drop,0.0,Pa,measured,2026-01-20T10:05:00-05:00,direct,
condition-00070,dead-time-999,column_temperature,303.15,K,measured,2026-01-20T10:10:00-05:00,direct,
condition-00071,dead-time-999,flow_column,1.85e-07,m3_s,measured,2026-01-20T10:10:00-05:00,direct,flow-channel-1
condition-00072,dead-time-999,pressure_inlet,101325.0,Pa,measured,2026-01-20T10:10:00-05:00,direct,
condition-00073,dead-time-999,pressure_outlet,101325.0,Pa,measured,2026-01-20T10:10:00-05:00,direct,
condition-00074,dead-time-999,pressure_drop,0.0,Pa,measured,2026-01-20T10:10:00-05:00,direct,
